Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Wed,2024-06-19,19:30,Pittsburgh,0–1,Louisville City,"5,084",Highmark Stadium,Matthew Thompson,Match Report,
17,Wed,2024-06-19,19:00,B'ham Legion,3–0,San Antonio,"1,996",Protective Stadium,Elvis Osmanovic,Match Report,
17,Wed,2024-06-19,19:00,Roots,2–1,El Paso,"3,247",Pioneer Stadium,Trevor Wiseman,Match Report,
17,Wed,2024-06-19,19:30,FC Tulsa,2–1,Miami FC,"3,009",ONEOK Field,Christopher Calderón,Match Report,
,,,,,,,,,,,
18,Fri,2024-06-21,19:30,Hartford,0–1,TB Rowdies,"5,500",Trinity Health Stadium,Greg Dopka,Match Report,
18,Sat,2024-06-22,15:00,Monterey Bay,2–1,Roots,"4,330",Cardinale Stadium,Ricardo Montero,Match Report,
18,Sat,2024-06-22,19:00,Indy Eleven,0–1,Orange County,"9,490",Michael A. Carroll Stadium,Joe Surgan,Match Report,
18,Sat,2024-06-22,19:00,Miami FC,2–2,Loudoun Utd,846,Riccardo Silva Stadium,Eric Tattersall,Match Report,
18,Sat,2024-06-22,19:30,North Carolina,0–0,Pittsburgh,"1,996",Sahlen's Stadium at WakeMed Soccer Park,Muhammad Hassan,Match Report,
18,Sat,2024-06-22,19:00,New Mexico Utd,1–0,CS Switchbacks,"10,176",Isotopes Park,Corbyn May,Match Report,
18,Sat,2024-06-22,19:30,FC Tulsa,0–0,Sac Republic,"3,433",ONEOK Field,John Matto,Match Report,
18,Sat,2024-06-22,19:30,LV Lights FC,1–1,Memphis,"1,657",Cashman Field,Trevor Wiseman,Match Report,
18,Sat,2024-06-22,19:30,Phx Rising,0–0,Charleston,"7,244",Wild Horse Pass Stadium,Abdou Ndiaye,Match Report,
18,Sat,2024-06-22,20:00,Louisville City,2–5,Rhode Island FC,"9,197",Lynn Family Stadium,Kyle Johnston,Match Report,
18,Wed,2024-06-26,19:00,Detroit City,1–2,B'ham Legion,"6,244",Keyworth Stadium,Abdou Ndiaye,Match Report,
,,,,,,,,,,,
19,Wed,2024-06-26,19:30,Rhode Island FC,3–0,El Paso,"3,481",Beirne Stadium,Nabil Bensalah,Match Report,
19,Fri,2024-06-28,19:30,Charleston,5–2,North Carolina,"3,876",Patriots Point Soccer Complex,Gerald Flores,Match Report,
19,Sat,2024-06-29,18:30,B'ham Legion,1–4,Louisville City,"5,011",Protective Stadium,Joshua Encarnacion,Match Report,
19,Sat,2024-06-29,19:00,Miami FC,0–4,Detroit City,"1,077",Riccardo Silva Stadium,Alyssa Nichols,Match Report,
19,Fri,2024-06-28,19:30,Memphis,5–1,Phx Rising,"2,775",AutoZone Park,Jeremy Scheer,Match Report,
19,Sat,2024-06-29,19:30,Loudoun Utd,2–0,TB Rowdies,"3,076",Segra Field,Luis Arroyo,Match Report,
19,Sat,2024-06-29,19:00,Orange County,0–2,Roots,"5,000",Orange Country Great Park Championship S...,Elton Garcia,Match Report,
19,Sat,2024-06-29,19:00,CS Switchbacks,1–0,Monterey Bay,"8,023",Weidner Field,Lorenzo Hernandez,Match Report,
19,Sat,2024-06-29,19:30,LV Lights FC,2–0,Pittsburgh,"1,893",Cashman Field,John Griggs,Match Report,
19,Sat,2024-06-29,20:00,Sac Republic,1–0,Hartford,"9,249",Heart Health Park,Muhammad Hassan,Match Report,
19,Sat,2024-06-29,20:00,San Antonio,2–3,New Mexico Utd,"6,625",Toyota Field,Mathew Corrigan,Match Report,
19,Wed,2024-07-03,19:30,Loudoun Utd,3–0,Hartford,"3,789",Segra Field,John Matto,Match Report,
19,Wed,2024-07-03,19:00,New Mexico Utd,2–0,Orange County,"12,147",Isotopes Park,Thomas Snyder,Match Report,
19,Wed,2024-07-03,19:30,Sac Republic,0–1,LV Lights FC,"8,988",Heart Health Park,Jeremy Scheer,Match Report,
19,Thu,2024-07-04,19:00,CS Switchbacks,1–0,FC Tulsa,"8,023",Weidner Field,Gerald Flores,Match Report,
,,,,,,,,,,,
20,Fri,2024-07-05,19:00,Charleston,2–0,B'ham Legion,"3,396",Patriots Point Soccer Complex,Lorenzo Hernandez,Match Report,
20,Fri,2024-07-05,19:30,Rhode Island FC,3–3,Indy Eleven,"4,728",Beirne Stadium,Ricardo Montero,Match Report,
20,Sat,2024-07-06,19:00,Detroit City,1–1,TB Rowdies,"6,403",Keyworth Stadium,Muhammad Hassan,Match Report,
20,Sat,2024-07-06,19:00,Pittsburgh,0–1,Monterey Bay,"5,018",Highmark Stadium,Joe Surgan,Match Report,
20,Sat,2024-07-06,19:30,North Carolina,4–1,Miami FC,"2,161",Sahlen's Stadium at WakeMed Soccer Park,Sergii Demianchuk,Match Report,
20,Sat,2024-07-06,19:00,Roots,1–0,Louisville City,"2,631",Pioneer Stadium,Calin Radosav,Match Report,
20,Sat,2024-07-06,19:00,Orange County,4–1,Memphis,"3,725",Orange Country Great Park Championship S...,John Griggs,Match Report,
20,Sat,2024-07-06,20:00,San Antonio,2–1,Phx Rising,"6,011",Toyota Field,Greg Dopka,Match Report,
,,,,,,,,,,,
21,Fri,2024-07-12,19:30,Hartford,,Charleston,,Trinity Health Stadium,,Head-to-Head,
21,Sat,2024-07-13,16:00,Detroit City,,Memphis,,Keyworth Stadium,,Head-to-Head,
21,Sat,2024-07-13,18:30,B'ham Legion,,CS Switchbacks,,Protective Stadium,,Head-to-Head,
21,Sat,2024-07-13,19:00,Miami FC,,Rhode Island FC,,Riccardo Silva Stadium,,Head-to-Head,
21,Sat,2024-07-13,19:00,Indy Eleven,,Loudoun Utd,,Michael A. Carroll Stadium,,Head-to-Head,
21,Sat,2024-07-13,19:00,Pittsburgh,,Roots,,Highmark Stadium,,Head-to-Head,
21,Sat,2024-07-13,19:30,TB Rowdies,,Orange County,,Al Lang Stadium,,Head-to-Head,
21,Fri,2024-07-12,20:00,El Paso,,LV Lights FC,,Southwest University Park,,Head-to-Head,
21,Sat,2024-07-13,19:00,Monterey Bay,,FC Tulsa,,Cardinale Stadium,,Head-to-Head,
21,Sat,2024-07-13,20:00,Sac Republic,,North Carolina,,Heart Health Park,,Head-to-Head,
,,,,,,,,,,,
22,Wed,2024-07-17,19:00,B'ham Legion,,Rhode Island FC,,Protective Stadium,,Head-to-Head,
22,Fri,2024-07-19,19:30,Charleston,,Miami FC,,Patriots Point Soccer Complex,,Head-to-Head,
22,Fri,2024-07-19,19:30,North Carolina,,Detroit City,,Sahlen's Stadium at WakeMed Soccer Park,,Head-to-Head,
22,Sat,2024-07-20,19:00,Indy Eleven,,TB Rowdies,,Michael A. Carroll Stadium,,Head-to-Head,
22,Fri,2024-07-19,20:00,Louisville City,,CS Switchbacks,,Lynn Family Stadium,,Head-to-Head,
22,Fri,2024-07-19,20:00,Phx Rising,,El Paso,,Wild Horse Pass Stadium,,Head-to-Head,
22,Sun,2024-07-21,13:00,Roots,,Sac Republic,,Pioneer Stadium,,Head-to-Head,
22,Sat,2024-07-20,19:00,Orange County,,San Antonio,,Orange Country Great Park Championship S...,,Head-to-Head,
22,Sat,2024-07-20,19:00,New Mexico Utd,,B'ham Legion,,Isotopes Park,,Head-to-Head,
22,Sat,2024-07-20,19:30,FC Tulsa,,Memphis,,ONEOK Field,,Head-to-Head,
22,Sat,2024-07-20,20:00,Pittsburgh,,Hartford,,Highmark Stadium,,Head-to-Head,
22,Tue,2024-07-23,23:00,Loudoun Utd,,Charleston,,Segra Field,,Head-to-Head,
,,,,,,,,,,,
23,Fri,2024-07-26,19:30,Hartford,,Phx Rising,,Trinity Health Stadium,,Head-to-Head,
23,Sat,2024-07-27,18:30,B'ham Legion,,Orange County,,Protective Stadium,,Head-to-Head,
23,Fri,2024-07-26,19:00,CS Switchbacks,,LV Lights FC,,Weidner Field,,Head-to-Head,
23,Sat,2024-07-27,19:00,Miami FC,,Roots,,Riccardo Silva Stadium,,Head-to-Head,
23,Sat,2024-07-27,19:00,Pittsburgh,,Loudoun Utd,,Highmark Stadium,,Head-to-Head,
23,Sat,2024-07-27,19:00,Detroit City,,Sac Republic,,Keyworth Stadium,,Head-to-Head,
23,Sat,2024-07-27,19:30,TB Rowdies,,Charleston,,Al Lang Stadium,,Head-to-Head,
23,Fri,2024-07-26,19:30,FC Tulsa,,Indy Eleven,,ONEOK Field,,Head-to-Head,
23,Sat,2024-07-27,19:30,Rhode Island FC,,North Carolina,,Beirne Stadium,,Head-to-Head,
23,Sat,2024-07-27,19:30,Memphis,,San Antonio,,AutoZone Park,,Head-to-Head,
23,Sat,2024-07-27,20:00,Louisville City,,Monterey Bay,,Lynn Family Stadium,,Head-to-Head,
23,Sat,2024-07-27,20:00,El Paso,,New Mexico Utd,,Southwest University Park,,Head-to-Head,
23,Wed,2024-07-31,19:30,Hartford,,Detroit City,,Trinity Health Stadium,,Head-to-Head,
23,Wed,2024-07-31,19:00,New Mexico Utd,,LV Lights FC,,Isotopes Park,,Head-to-Head,
,,,,,,,,,,,
24,Fri,2024-08-02,19:30,Charleston,,Indy Eleven,,Patriots Point Soccer Complex,,Head-to-Head,
24,Sat,2024-08-03,16:00,Detroit City,,Rhode Island FC,,Keyworth Stadium,,Head-to-Head,
24,Sat,2024-08-03,18:30,B'ham Legion,,Hartford,,Protective Stadium,,Head-to-Head,
24,Sat,2024-08-03,19:30,Loudoun Utd,,Miami FC,,Segra Field,,Head-to-Head,
24,Sat,2024-08-03,19:00,Sac Republic,,Pittsburgh,,Heart Health Park,,Head-to-Head,
24,Sat,2024-08-03,19:00,Orange County,,North Carolina,,Orange Country Great Park Championship S...,,Head-to-Head,
24,Sat,2024-08-03,19:00,CS Switchbacks,,Phx Rising,,Weidner Field,,Head-to-Head,
24,Sat,2024-08-03,19:00,Monterey Bay,,TB Rowdies,,Cardinale Stadium,,Head-to-Head,
24,Sat,2024-08-03,19:00,New Mexico Utd,,Louisville City,,Isotopes Park,,Head-to-Head,
24,Sat,2024-08-03,19:30,Memphis,,El Paso,,AutoZone Park,,Head-to-Head,
24,Sat,2024-08-03,20:00,San Antonio,,FC Tulsa,,Toyota Field,,Head-to-Head,
24,Wed,2024-08-07,19:00,Detroit City,,Pittsburgh,,Keyworth Stadium,,Head-to-Head,
24,Wed,2024-08-07,19:00,Indy Eleven,,Rhode Island FC,,Michael A. Carroll Stadium,,Head-to-Head,
,,,,,,,,,,,
25,Sat,2024-08-10,19:00,Pittsburgh,,San Antonio,,Highmark Stadium,,Head-to-Head,
25,Sat,2024-08-10,19:30,North Carolina,,CS Switchbacks,,Sahlen's Stadium at WakeMed Soccer Park,,Head-to-Head,
25,Sat,2024-08-10,19:30,Charleston,,Memphis,,Patriots Point Soccer Complex,,Head-to-Head,
25,Fri,2024-08-09,19:30,FC Tulsa,,Orange County,,ONEOK Field,,Head-to-Head,
25,Sat,2024-08-10,19:30,Rhode Island FC,,Hartford,,Beirne Stadium,,Head-to-Head,
25,Sun,2024-08-11,17:00,Indy Eleven,,New Mexico Utd,,Michael A. Carroll Stadium,,Head-to-Head,
25,Sat,2024-08-10,19:00,Monterey Bay,,B'ham Legion,,Cardinale Stadium,,Head-to-Head,
25,Sat,2024-08-10,19:00,Roots,,Loudoun Utd,,Pioneer Stadium,,Head-to-Head,
25,Sat,2024-08-10,19:30,LV Lights FC,,Detroit City,,Cashman Field,,Head-to-Head,
25,Sat,2024-08-10,20:00,Phx Rising,,TB Rowdies,,Wild Horse Pass Stadium,,Head-to-Head,
25,Sat,2024-08-10,20:00,El Paso,,Miami FC,,Southwest University Park,,Head-to-Head,
25,Sat,2024-08-10,21:00,Louisville City,,Sac Republic,,Lynn Family Stadium,,Head-to-Head,
,,,,,,,,,,,
11,Wed,2024-08-14,19:00,Miami FC,,Memphis,,Riccardo Silva Stadium,,Head-to-Head,
,,,,,,,,,,,
25,Wed,2024-08-14,19:00,New Mexico Utd,,FC Tulsa,,Isotopes Park,,Head-to-Head,
25,Wed,2024-08-14,19:30,Sac Republic,,El Paso,,Heart Health Park,,Head-to-Head,
,,,,,,,,,,,
26,Sat,2024-08-17,19:00,Hartford,,LV Lights FC,,Trinity Health Stadium,,Head-to-Head,
26,Fri,2024-08-16,19:00,B'ham Legion,,Detroit City,,Protective Stadium,,Head-to-Head,
26,Sat,2024-08-17,19:00,Pittsburgh,,CS Switchbacks,,Highmark Stadium,,Head-to-Head,
26,Sat,2024-08-17,19:30,Rhode Island FC,,Roots,,Beirne Stadium,,Head-to-Head,
26,Sat,2024-08-17,19:30,TB Rowdies,,Loudoun Utd,,Al Lang Stadium,,Head-to-Head,
26,Sat,2024-08-17,19:00,Orange County,,El Paso,,Orange Country Great Park Championship S...,,Head-to-Head,
26,Sat,2024-08-17,19:00,New Mexico Utd,,Monterey Bay,,Isotopes Park,,Head-to-Head,
26,Sat,2024-08-17,19:30,Memphis,,FC Tulsa,,AutoZone Park,,Head-to-Head,
26,Sat,2024-08-17,20:00,Louisville City,,Charleston,,Lynn Family Stadium,,Head-to-Head,
26,Sat,2024-08-17,20:00,San Antonio,,North Carolina,,Toyota Field,,Head-to-Head,
26,Wed,2024-08-21,19:30,TB Rowdies,,Detroit City,,Al Lang Stadium,,Head-to-Head,
,,,,,,,,,,,
27,Sat,2024-08-24,18:30,B'ham Legion,,Pittsburgh,,Protective Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:00,Hartford,,Louisville City,,Trinity Health Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:00,Detroit City,,FC Tulsa,,Keyworth Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:30,TB Rowdies,,Miami FC,,Al Lang Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:30,Loudoun Utd,,Rhode Island FC,,Segra Field,,Head-to-Head,
27,Sat,2024-08-24,19:30,Charleston,,Orange County,,Patriots Point Soccer Complex,,Head-to-Head,
27,Sat,2024-08-24,19:00,CS Switchbacks,,New Mexico Utd,,Weidner Field,,Head-to-Head,
27,Sat,2024-08-24,19:00,Roots,,Memphis,,Pioneer Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:00,Monterey Bay,,El Paso,,Cardinale Stadium,,Head-to-Head,
27,Sat,2024-08-24,19:30,LV Lights FC,,Indy Eleven,,Cashman Field,,Head-to-Head,
27,Sat,2024-08-24,20:00,Phx Rising,,North Carolina,,Wild Horse Pass Stadium,,Head-to-Head,
27,Sat,2024-08-24,20:00,Sac Republic,,San Antonio,,Heart Health Park,,Head-to-Head,
27,Wed,2024-08-28,19:00,CS Switchbacks,,Memphis,,Weidner Field,,Head-to-Head,
,,,,,,,,,,,
28,Sat,2024-08-31,15:00,Roots,,New Mexico Utd,,,,Head-to-Head,
28,Sat,2024-08-31,19:00,Indy Eleven,,Pittsburgh,,,,Head-to-Head,
28,Sat,2024-08-31,19:00,Detroit City,,Hartford,,,,Head-to-Head,
28,Sat,2024-08-31,19:30,Rhode Island FC,,B'ham Legion,,,,Head-to-Head,
28,Sat,2024-08-31,19:30,North Carolina,,Louisville City,,,,Head-to-Head,
28,Sat,2024-08-31,19:30,Loudoun Utd,,Phx Rising,,,,Head-to-Head,
28,Sun,2024-09-01,17:00,FC Tulsa,,CS Switchbacks,,,,Head-to-Head,
28,Sat,2024-08-31,19:00,Orange County,,LV Lights FC,,,,Head-to-Head,
28,Sat,2024-08-31,20:00,San Antonio,,Charleston,,,,Head-to-Head,
,,,,,,,,,,,
29,Fri,2024-09-06,,Phx Rising,,FC Tulsa,,,,Head-to-Head,
29,Fri,2024-09-06,,Louisville City,,Loudoun Utd,,,,Head-to-Head,
29,Fri,2024-09-06,,New Mexico Utd,,Miami FC,,,,Head-to-Head,
29,Sat,2024-09-07,,Monterey Bay,,San Antonio,,,,Head-to-Head,
29,Sat,2024-09-07,,El Paso,,Detroit City,,,,Head-to-Head,
29,Sat,2024-09-07,,Charleston,,Sac Republic,,,,Head-to-Head,
29,Sat,2024-09-07,,Hartford,,Indy Eleven,,,,Head-to-Head,
29,Sat,2024-09-07,,CS Switchbacks,,TB Rowdies,,,,Head-to-Head,
29,Sat,2024-09-07,,North Carolina,,Roots,,,,Head-to-Head,
29,Sat,2024-09-07,,Pittsburgh,,Rhode Island FC,,,,Head-to-Head,
29,Wed,2024-09-11,,FC Tulsa,,LV Lights FC,,,,Head-to-Head,
29,Wed,2024-09-11,,Memphis,,Hartford,,,,Head-to-Head,
29,Wed,2024-09-11,,B'ham Legion,,TB Rowdies,,,,Head-to-Head,
,,,,,,,,,,,
30,Sat,2024-09-14,,LV Lights FC,,Monterey Bay,,,,Head-to-Head,
30,Sat,2024-09-14,,CS Switchbacks,,Charleston,,,,Head-to-Head,
30,Sat,2024-09-14,,Loudoun Utd,,B'ham Legion,,,,Head-to-Head,
30,Sat,2024-09-14,,Memphis,,North Carolina,,,,Head-to-Head,
30,Sat,2024-09-14,,FC Tulsa,,Louisville City,,,,Head-to-Head,
30,Sat,2024-09-14,,TB Rowdies,,Pittsburgh,,,,Head-to-Head,
30,Sat,2024-09-14,,Indy Eleven,,El Paso,,,,Head-to-Head,
30,Sat,2024-09-14,,Sac Republic,,Phx Rising,,,,Head-to-Head,
30,Sat,2024-09-14,,Orange County,,Rhode Island FC,,,,Head-to-Head,
30,Sat,2024-09-14,,Miami FC,,Hartford,,,,Head-to-Head,
30,Sat,2024-09-14,,Detroit City,,New Mexico Utd,,,,Head-to-Head,
30,Sat,2024-09-14,,Roots,,San Antonio,,,,Head-to-Head,
30,Wed,2024-09-18,,Louisville City,,Memphis,,,,Head-to-Head,
,,,,,,,,,,,
20,Wed,2024-09-18,19:00,New Mexico Utd,,Sac Republic,,Isotopes Park,,Head-to-Head,
,,,,,,,,,,,
31,Sat,2024-09-21,,Detroit City,,Louisville City,,,,Head-to-Head,
31,Sat,2024-09-21,,Phx Rising,,San Antonio,,,,Head-to-Head,
31,Sat,2024-09-21,,El Paso,,CS Switchbacks,,,,Head-to-Head,
31,Sat,2024-09-21,,Monterey Bay,,Orange County,,,,Head-to-Head,
31,Sat,2024-09-21,,Charleston,,TB Rowdies,,,,Head-to-Head,
31,Sat,2024-09-21,,North Carolina,,Indy Eleven,,,,Head-to-Head,
31,Sat,2024-09-21,,Hartford,,Roots,,,,Head-to-Head,
31,Sat,2024-09-21,,Rhode Island FC,,FC Tulsa,,,,Head-to-Head,
31,Sat,2024-09-21,,LV Lights FC,,Sac Republic,,,,Head-to-Head,
31,Sun,2024-09-22,,New Mexico Utd,,Loudoun Utd,,,,Head-to-Head,
31,Sun,2024-09-22,,B'ham Legion,,Miami FC,,,,Head-to-Head,
31,Wed,2024-09-25,,Orange County,,Phx Rising,,,,Head-to-Head,
,,,,,,,,,,,
32,Sat,2024-09-28,,San Antonio,,Rhode Island FC,,,,Head-to-Head,
32,Sat,2024-09-28,,Pittsburgh,,B'ham Legion,,,,Head-to-Head,
32,Sat,2024-09-28,,Indy Eleven,,Miami FC,,,,Head-to-Head,
32,Sat,2024-09-28,,Phx Rising,,LV Lights FC,,,,Head-to-Head,
32,Sat,2024-09-28,,Monterey Bay,,Detroit City,,,,Head-to-Head,
32,Sat,2024-09-28,,TB Rowdies,,Hartford,,,,Head-to-Head,
32,Sat,2024-09-28,,CS Switchbacks,,Loudoun Utd,,,,Head-to-Head,
32,Sun,2024-09-29,,Sac Republic,,New Mexico Utd,,,,Head-to-Head,
32,Sun,2024-09-29,,Roots,,FC Tulsa,,,,Head-to-Head,
32,Sun,2024-09-29,,El Paso,,North Carolina,,,,Head-to-Head,
32,Wed,2024-10-02,,Louisville City,,Miami FC,,,,Head-to-Head,
,,,,,,,,,,,
33,Fri,2024-10-04,,Phx Rising,,Monterey Bay,,,,Head-to-Head,
33,Sat,2024-10-05,,Charleston,,Detroit City,,,,Head-to-Head,
33,Sat,2024-10-05,,Indy Eleven,,Louisville City,,,,Head-to-Head,
33,Sat,2024-10-05,,San Antonio,,Sac Republic,,,,Head-to-Head,
33,Sat,2024-10-05,,Hartford,,Loudoun Utd,,,,Head-to-Head,
33,Sat,2024-10-05,,Memphis,,Roots,,,,Head-to-Head,
33,Sat,2024-10-05,,Rhode Island FC,,TB Rowdies,,,,Head-to-Head,
33,Sat,2024-10-05,,FC Tulsa,,El Paso,,,,Head-to-Head,
33,Sat,2024-10-05,,Miami FC,,Pittsburgh,,,,Head-to-Head,
33,Sat,2024-10-05,,LV Lights FC,,Orange County,,,,Head-to-Head,
33,Sun,2024-10-06,,B'ham Legion,,North Carolina,,,,Head-to-Head,
33,Tue,2024-10-08,,Loudoun Utd,,Indy Eleven,,,,Head-to-Head,
33,Wed,2024-10-09,,El Paso,,San Antonio,,,,Head-to-Head,
33,Wed,2024-10-09,,New Mexico Utd,,Phx Rising,,,,Head-to-Head,
33,Wed,2024-10-09,,Orange County,,CS Switchbacks,,,,Head-to-Head,
33,Wed,2024-10-09,,North Carolina,,FC Tulsa,,,,Head-to-Head,
33,Wed,2024-10-09,,Sac Republic,,Monterey Bay,,,,Head-to-Head,
,,,,,,,,,,,
34,Sat,2024-10-12,,CS Switchbacks,,San Antonio,,,,Head-to-Head,
34,Sat,2024-10-12,,Pittsburgh,,Charleston,,,,Head-to-Head,
34,Sat,2024-10-12,,Memphis,,Sac Republic,,,,Head-to-Head,
34,Sat,2024-10-12,,Rhode Island FC,,Loudoun Utd,,,,Head-to-Head,
34,Sat,2024-10-12,,Hartford,,North Carolina,,,,Head-to-Head,
34,Sat,2024-10-12,,Miami FC,,Monterey Bay,,,,Head-to-Head,
34,Sat,2024-10-12,,Detroit City,,Indy Eleven,,,,Head-to-Head,
34,Sat,2024-10-12,,Roots,,Phx Rising,,,,Head-to-Head,
34,Sat,2024-10-12,,FC Tulsa,,New Mexico Utd,,,,Head-to-Head,
34,Sat,2024-10-12,,Louisville City,,TB Rowdies,,,,Head-to-Head,
34,Sun,2024-10-13,,B'ham Legion,,LV Lights FC,,,,Head-to-Head,
34,Wed,2024-10-16,,El Paso,,Orange County,,,,Head-to-Head,
,,,,,,,,,,,
35,Sat,2024-10-19,,Monterey Bay,,CS Switchbacks,,,,Head-to-Head,
35,Sat,2024-10-19,,El Paso,,Sac Republic,,,,Head-to-Head,
35,Sat,2024-10-19,,FC Tulsa,,Hartford,,,,Head-to-Head,
35,Sat,2024-10-19,,San Antonio,,Louisville City,,,,Head-to-Head,
35,Sat,2024-10-19,,Detroit City,,Miami FC,,,,Head-to-Head,
35,Sat,2024-10-19,,Orange County,,New Mexico Utd,,,,Head-to-Head,
35,Sat,2024-10-19,,Loudoun Utd,,Pittsburgh,,,,Head-to-Head,
35,Sat,2024-10-19,,TB Rowdies,,North Carolina,,,,Head-to-Head,
35,Sat,2024-10-19,,Indy Eleven,,B'ham Legion,,,,Head-to-Head,
35,Sat,2024-10-19,,Phx Rising,,Memphis,,,,Head-to-Head,
35,Sat,2024-10-19,,Charleston,,Rhode Island FC,,,,Head-to-Head,
,,,,,,,,,,,
36,Sat,2024-10-19,,LV Lights FC,,Roots,,,,Head-to-Head,
36,Sat,2024-10-26,,San Antonio,,Detroit City,,,,Head-to-Head,
36,Sat,2024-10-26,,Roots,,B'ham Legion,,,,Head-to-Head,
36,Sat,2024-10-26,,New Mexico Utd,,Memphis,,,,Head-to-Head,
36,Sat,2024-10-26,,TB Rowdies,,Indy Eleven,,,,Head-to-Head,
36,Sat,2024-10-26,,Rhode Island FC,,Miami FC,,,,Head-to-Head,
36,Sat,2024-10-26,,Sac Republic,,CS Switchbacks,,,,Head-to-Head,
36,Sat,2024-10-26,,FC Tulsa,,Monterey Bay,,,,Head-to-Head,
36,Sat,2024-10-26,,Louisville City,,Phx Rising,,,,Head-to-Head,
36,Sat,2024-10-26,,Charleston,,Loudoun Utd,,,,Head-to-Head,
36,Sat,2024-10-26,,Orange County,,Hartford,,,,Head-to-Head,
36,Sat,2024-10-26,,North Carolina,,LV Lights FC,,,,Head-to-Head,
36,Sat,2024-10-26,,Pittsburgh,,El Paso,,,,Head-to-Head,
